Title,Media Type,Youtube Video ID,File Url,Duration,Topic,Role,Thumbnail URL
Creating a Safe Haven Techniques for Moderators: Introduction,video,lndu8n9lFFE,,5_20_minutes,"PTSD/Trauma, How to guides",Content Moderators,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SafeHaven%201.jpg
Safe Haven Techniques for Moderators: Safety,video,ElKJaC0PHg0,,5_20_minutes,"PTSD/Trauma, How to guides",Content Moderators,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SafeHaven%202.JPG
Safe Haven Techniques for Moderators: Grounding Techniques,video,tIJvTltu5yE,,5_20_minutes,"PTSD/Trauma, How to guides",Content Moderators,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SafeHaven%203.JPG
Safe Haven Techniques for Moderators: Asking for Help,video,eO3DxZO9Wy0,,under_5_minutes,"PTSD/Trauma, How to guides",Content Moderators,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SafeHaven%204.JPG
Safe Haven Techniques for Moderators: Self-Care,video,YrFc7JtpJm0,,5_20_minutes,"PTSD/Trauma, How to guides",Content Moderators,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SafeHaven%205.jpg
Safe Haven Techniques for Moderators: Compassion,video,RkIzDYo19V0,,5_20_minutes,"PTSD/Trauma, How to guides",Content Moderators,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SafeHaven%206.jpg
Safe Haven Techniques for Moderators: Danger and Safety,video,3Vap0o9MXwM,,5_20_minutes,"PTSD/Trauma, How to guides",Content Moderators,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SafeHaven%207.JPG
Safe Haven Techniques for Moderators: Understanding Our Thoughts,video,vimEsGL0GJc,,5_20_minutes,"PTSD/Trauma, How to guides",Content Moderators,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SafeHaven%208.JPG
Safe Haven Techniques for Moderators: Commitment,video,MZcGC8qCTi8,,over_20_minutes,"PTSD/Trauma, How to guides",Content Moderators,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SafeHaven%209.jpg
Safe Haven Techniques for Moderators: Setting Boundaries,video,BW5INAGdADM,,5_20_minutes,"PTSD/Trauma, How to guides",Content Moderators,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SafeHaven%2010.JPG
Safe Haven Techniques for Moderators: Coping with Triggers,video,i0W5Ni4QD90,,5_20_minutes,"PTSD/Trauma, How to guides",Content Moderators,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SafeHaven%2011.JPG
Safe Haven Techniques for Moderators: Time Management,video,zmtuzO0ms-0,,5_20_minutes,"PTSD/Trauma, How to guides",Content Moderators,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SafeHaven%2012.JPG
